sample	sms	morph	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
sample_SMS119_1_S	SMS119	S	0.0744776	-0.0128488	0.0916154	0.0862336	0.016477	-0.00898568	0.00307518	-0.00814511	-0.00671952	-0.0327765	0.0264689	0.0206431	0.00132763	-0.00876378	-0.0301876	0.0431624	0.0656831	0.0342241	-0.146652	0.0295871
sample_SMS119_10_L	SMS119	L	0.0791281	-0.0115948	0.0968531	0.0917527	0.0306056	-0.00782221	0.00419337	-0.00684468	-0.00421882	0.0382972	0.0205785	0.0157941	0.0406228	0.0935986	0.0290101	-0.0485884	-0.0131289	-0.0305753	0.0789427	0.0259539
sample_SMS119_11_L	SMS119	L	0.078912	-0.0146337	0.102765	0.109781	0.0322539	-0.0107968	0.00336164	-0.000942859	0.000406715	0.0385194	-0.0418208	-0.0398533	0.0735562	0.195231	0.0507719	-0.0454963	-0.046018	0.0162902	-0.0407964	0.0843155
sample_SMS119_12_L	SMS119	L	0.0791654	-0.0139364	0.104546	0.0939727	0.0192166	-0.00297271	0.00176099	-0.00719011	-0.0148423	-0.0210861	-0.0352173	-0.0114959	-0.0350931	-0.029718	0.0209149	-0.00677142	-0.00410507	-0.0678235	0.179953	-0.15736
sample_SMS119_13_S	SMS119	S	0.0803976	-0.0106968	0.0921868	0.0927463	0.0154605	0.0003185	0.000283877	0.00225166	-0.012526	-0.0402046	0.058812	0.0604858	-0.0115154	-0.0772094	-0.0458506	0.0712559	0.056464	-0.00275238	-0.0848756	-0.0220151
sample_SMS119_14_S	SMS119	S	0.0771048	-0.0137391	0.0954581	0.097232	0.0260245	-0.00104574	-0.00236409	-0.00265851	-0.01364	-0.0525189	0.0216782	0.0314792	-0.0383229	-0.136383	-0.0523149	0.0703903	0.0801722	-0.0555796	-0.00689783	-0.0550529
sample_SMS119_15_S	SMS119	S	0.0789259	-0.0126515	0.0929559	0.103373	0.0282124	-0.00806431	0.00289447	0.0131646	0.00792479	0.00853443	-0.00856453	0.0409241	0.105354	0.133315	-0.027846	0.0604905	-0.0504918	0.0796938	-0.128849	0.0862603
sample_SMS119_158_L	SMS119	L	0.0795997	-0.0107325	0.109241	0.113807	0.0375324	-0.0126885	0.00528385	-0.00253165	0.0101998	0.0264675	-0.0741463	-0.0379916	0.0666675	0.146607	0.0288062	-0.029419	-0.0509689	-0.00108676	0.0298503	0.000341784
sample_SMS119_159_L	SMS119	L	0.0754535	-0.0145219	0.0907495	0.0882554	0.0211927	-0.00564046	0.00271997	-0.00127907	-0.0174617	-0.0388799	0.0212156	0.0215084	-0.0439162	-0.128916	-0.026984	0.0559417	0.0410408	-0.0328779	0.0244931	-0.0262062
sample_SMS119_16_L	SMS119	L	0.0789391	-0.0145297	0.103836	0.0932379	0.0199212	-0.00399044	0.00153637	-0.00407189	-0.0161702	-0.0166352	0.0165415	0.00208689	-0.0463983	-0.0699082	0.0221678	-0.0210486	0.0291609	-0.0782918	0.102555	-0.0951077
sample_SMS119_160_L	SMS119	L	0.0790498	-0.0160476	0.105445	0.116189	0.021437	-0.0110079	0.00229675	-0.0023524	-0.00954249	0.0213394	-0.021347	-0.0278047	-0.0586863	-0.0819173	-0.000508128	-0.0304902	0.0215058	0.0157964	-0.050606	0.0162576
sample_SMS119_161_L	SMS119	L	0.0798337	-0.0149219	0.0990667	0.113852	0.0237434	-0.0135019	-0.000890994	-0.00991758	-0.0107768	0.0212811	-0.0688587	-0.0886769	-0.040378	-0.030606	0.0422593	-0.0734492	-0.0338612	-0.000533685	0.0663392	0.0188021
sample_SMS119_162_L	SMS119	L	0.0788213	-0.00962047	0.101774	0.104311	0.0268932	-0.0104913	0.000181643	-0.00550215	0.00161555	0.0545882	0.0163144	0.00104471	0.0187376	0.088684	0.0197569	-0.058865	0.0170216	0.0076992	-0.0742143	0.106466
sample_SMS119_163_L	SMS119	L	0.0784487	-0.0144651	0.116016	0.0951307	0.0133018	-0.00423382	0.00398739	0.00287397	-0.00908244	-0.0355246	0.0338997	0.0275127	-0.0280166	-0.0401803	0.0129185	0.00179071	0.0761414	-0.0835467	-0.0139508	-0.0840706
