potential parents ranked by matching proportion, 1 = highest matching proportion
progeny_ID	sample_SMS7_2L_202_L_replicate1	sample_SMS7_5L_205_L_replicate1	sample_SMS7_3L_203_L_replicate1	sample_SMS7_4L_204_L_replicate1
sample_SMS107_147_S	2	1	3	4
sample_SMS105_188_S	3	2	1	4
sample_SMS106_106_S	4	3	2	1
sample_SMS106_115_L	3	4	2	1
sample_SMS107_133_S	3	1	2	4
sample_SMS107_145_S	3	1	2	4
sample_SMS106_117_S	4	2	1	3
sample_SMS106_114_L	4	3	2	1
sample_SMS106_111_L	4	1	3	2
sample_SMS105_189_L	3	4	1	2
sample_SMS104_156_L	1	4	2	3
sample_SMS105_184_L	2	3	1	4
sample_SMS104_159_L	1	4	3	2
sample_SMS104_169_S	1	3	2	4
sample_SMS105_193_L	3	2	1	4
sample_SMS107_128_S	2	1	3	4
sample_SMS104_166_L	1	3	2	4
sample_SMS7_3L_203_L_replicate2	2	3	1	4
sample_SMS107_131_L	3	1	2	4
sample_SMS105_183_L	4	2	1	3
sample_SMS105_192_S	3	2	1	4
sample_SMS104_163_S	1	3	2	4
sample_SMS106_101_S	1	3	2	4
sample_SMS105_182_L	3	2	1	4
sample_SMS107_136_S	3	1	2	4
sample_SMS106_109_S	3	4	2	1
sample_SMS104_157_L	1	4	2	3
sample_SMS106_103_S	4	1	2	3
sample_SMS107_141_L	3	1	2	4
sample_SMS106_112_L	2	3	1	4
sample_SMS105_176_S	4	3	1	2
sample_SMS107_150_S	2	1	3	4
sample_SMS107_132_S	2	1	3	4
sample_SMS104_155_L	1	3	2	4
sample_SMS104_158_L	1	3	2	4
sample_SMS105_187_L	4	3	1	2
sample_SMS107_143_L	2	1	3	4
sample_SMS7_5L_205_L_replicate2	3	1	2	4
sample_SMS104_165_S	1	3	2	4
sample_SMS107_140_L	3	1	2	4
sample_SMS105_191_L	3	4	1	2
sample_SMS105_177_L	2	3	1	4
sample_SMS107_134_S	3	1	2	4
sample_SMS106_119_S	2	4	1	3
sample_SMS107_144_L	3	1	2	4
sample_SMS104_161_L	1	3	2	4
sample_SMS107_139_L	3	1	2	4
sample_SMS107_135_L	2	1	3	4
sample_SMS104_164_L	1	4	2	3
sample_SMS106_102_L	4	3	2	1
sample_SMS7_2L_202_L_replicate2	1	4	2	3
sample_SMS105_185_L	4	3	1	2
sample_SMS106_118_S	3	4	2	1
sample_SMS7_1S_201_S_replicate2	2	4	1	3
sample_SMS107_138_L	3	1	2	4
sample_SMS106_123_S	3	4	2	1
sample_SMS106_108_S	3	4	2	1
sample_SMS105_186_S	2	4	1	3
sample_SMS107_127_S	2	1	3	4
sample_SMS106_107_S	2	4	3	1
sample_SMS104_154_L	1	4	2	3
sample_SMS104_152_S	1	4	2	3
sample_SMS104_170_S	1	3	2	4
sample_SMS105_194_L	3	2	1	4
sample_SMS107_137_S	3	1	2	4
sample_SMS107_142_L	3	1	2	4
sample_SMS106_110_S	3	2	1	4
sample_SMS104_171_S	1	4	2	3
sample_SMS104_167_L	1	3	2	4
sample_SMS105_178_L	4	3	1	2
sample_SMS104_160_S	1	4	2	3
sample_SMS106_116_L	4	1	3	2
sample_SMS106_113_L	3	2	1	4
sample_SMS7_4L_204_L_replicate2	3	4	2	1
sample_SMS107_129_S	2	1	3	4
sample_SMS107_130_S	2	1	3	4
sample_SMS106_105_S	1	4	2	3
sample_SMS107_124_L	3	1	2	4
sample_SMS104_153_S	1	3	2	4
sample_SMS105_179_L	3	1	2	4
sample_SMS105_190_S	4	2	1	3
sample_SMS105_181_S	4	2	1	3
sample_SMS106_104_S	4	1	2	3
sample_SMS104_172_S	1	3	2	4
sample_SMS105_196_L	3	2	1	4
sample_SMS105_180_L	2	4	1	3
sample_SMS104_162_S	1	4	2	3
sample_SMS104_151_S	1	4	2	3
sample_SMS105_195_L	2	3	1	4
sample_SMS106_122_S	2	4	3	1
