CHR	CHR	CHR	CHR	CHR	CHR
POS	POS	POS	POS	POS	POS
family_1	sample_SMS7_2L_202_L_replicate1	0	0	2	0
family_1	sample_SMS7_1S_201_S_replicate1	0	0	1	0
family_1	sample_SMS104_151_S	sample_SMS7_1S_201_S_replicate1	sample_SMS7_2L_202_L_replicate1	0	0
family_1	sample_SMS104_152_S	sample_SMS7_1S_201_S_replicate1	sample_SMS7_2L_202_L_replicate1	0	0
family_1	sample_SMS104_153_S	sample_SMS7_1S_201_S_replicate1	sample_SMS7_2L_202_L_replicate1	0	0
family_1	sample_SMS104_154_L	sample_SMS7_1S_201_S_replicate1	sample_SMS7_2L_202_L_replicate1	0	0
family_1	sample_SMS104_155_L	sample_SMS7_1S_201_S_replicate1	sample_SMS7_2L_202_L_replicate1	0	0
family_1	sample_SMS104_156_L	sample_SMS7_1S_201_S_replicate1	sample_SMS7_2L_202_L_replicate1	0	0
family_1	sample_SMS104_157_L	sample_SMS7_1S_201_S_replicate1	sample_SMS7_2L_202_L_replicate1	0	0
family_1	sample_SMS104_158_L	sample_SMS7_1S_201_S_replicate1	sample_SMS7_2L_202_L_replicate1	0	0
family_1	sample_SMS104_159_L	sample_SMS7_1S_201_S_replicate1	sample_SMS7_2L_202_L_replicate1	0	0
family_1	sample_SMS104_160_S	sample_SMS7_1S_201_S_replicate1	sample_SMS7_2L_202_L_replicate1	0	0
family_1	sample_SMS104_161_L	sample_SMS7_1S_201_S_replicate1	sample_SMS7_2L_202_L_replicate1	0	0
family_1	sample_SMS104_162_S	sample_SMS7_1S_201_S_replicate1	sample_SMS7_2L_202_L_replicate1	0	0
family_1	sample_SMS104_163_S	sample_SMS7_1S_201_S_replicate1	sample_SMS7_2L_202_L_replicate1	0	0
family_1	sample_SMS104_164_L	sample_SMS7_1S_201_S_replicate1	sample_SMS7_2L_202_L_replicate1	0	0
family_1	sample_SMS104_165_S	sample_SMS7_1S_201_S_replicate1	sample_SMS7_2L_202_L_replicate1	0	0
family_1	sample_SMS104_166_L	sample_SMS7_1S_201_S_replicate1	sample_SMS7_2L_202_L_replicate1	0	0
family_1	sample_SMS104_167_L	sample_SMS7_1S_201_S_replicate1	sample_SMS7_2L_202_L_replicate1	0	0
family_1	sample_SMS104_169_S	sample_SMS7_1S_201_S_replicate1	sample_SMS7_2L_202_L_replicate1	0	0
family_1	sample_SMS104_170_S	sample_SMS7_1S_201_S_replicate1	sample_SMS7_2L_202_L_replicate1	0	0
family_1	sample_SMS104_171_S	sample_SMS7_1S_201_S_replicate1	sample_SMS7_2L_202_L_replicate1	0	0
family_1	sample_SMS104_172_S	sample_SMS7_1S_201_S_replicate1	sample_SMS7_2L_202_L_replicate1	0	0
family_2	sample_SMS7_1S_201_S_replicate1	0	0	1	0
family_2	sample_SMS7_3L_203_L_replicate2	0	0	2	0
family_2	sample_SMS105_176_S	sample_SMS7_1S_201_S_replicate1	sample_SMS7_3L_203_L_replicate2	0	0
family_2	sample_SMS105_177_L	sample_SMS7_1S_201_S_replicate1	sample_SMS7_3L_203_L_replicate2	0	0
family_2	sample_SMS105_178_L	sample_SMS7_1S_201_S_replicate1	sample_SMS7_3L_203_L_replicate2	0	0
